2019-12-16 15:01:33 status config-files binutils:amd64 2.31.1-16
2019-12-16 15:01:33 status not-installed binutils:amd64 <none>
2019-12-16 15:01:33 status installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:01:33 remove binutils-x86-64-linux-gnu:amd64 2.31.1-16 <none>
2019-12-16 15:01:33 status half-configured binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:01:33 status half-installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:01:33 status config-files binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:01:33 status not-installed binutils-x86-64-linux-gnu:amd64 <none>
2019-12-16 15:01:33 status installed libbinutils:amd64 2.31.1-16
2019-12-16 15:01:33 remove libbinutils:amd64 2.31.1-16 <none>
2019-12-16 15:01:33 status triggers-pending libc-bin:amd64 2.28-10
2019-12-16 15:01:33 status half-configured libbinutils:amd64 2.31.1-16
2019-12-16 15:01:33 status half-installed libbinutils:amd64 2.31.1-16
2019-12-16 15:01:33 status config-files libbinutils:amd64 2.31.1-16
2019-12-16 15:01:33 status not-installed libbinutils:amd64 <none>
2019-12-16 15:01:33 status installed binutils-common:amd64 2.31.1-16
2019-12-16 15:01:33 remove binutils-common:amd64 2.31.1-16 <none>
2019-12-16 15:01:33 status half-configured binutils-common:amd64 2.31.1-16
2019-12-16 15:01:33 status half-installed binutils-common:amd64 2.31.1-16
2019-12-16 15:01:33 status config-files binutils-common:amd64 2.31.1-16
2019-12-16 15:01:33 status not-installed binutils-common:amd64 <none>
2019-12-16 15:01:33 status installed cpp:amd64 4:8.3.0-1
2019-12-16 15:01:33 remove cpp:amd64 4:8.3.0-1 <none>
2019-12-16 15:01:33 status half-configured cpp:amd64 4:8.3.0-1
2019-12-16 15:01:33 status half-installed cpp:amd64 4:8.3.0-1
2019-12-16 15:01:33 status config-files cpp:amd64 4:8.3.0-1
2019-12-16 15:01:33 status not-installed cpp:amd64 <none>
2019-12-16 15:01:33 status installed cpp-8:amd64 8.3.0-6
2019-12-16 15:01:33 remove cpp-8:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured cpp-8:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed cpp-8:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files cpp-8:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed cpp-8:amd64 <none>
2019-12-16 15:01:33 status installed libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 remove libstdc++-8-dev:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed libstdc++-8-dev:amd64 <none>
2019-12-16 15:01:33 status installed libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 remove libgcc-8-dev:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed libgcc-8-dev:amd64 <none>
2019-12-16 15:01:33 status installed libasan5:amd64 8.3.0-6
2019-12-16 15:01:33 remove libasan5:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured libasan5:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed libasan5:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files libasan5:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed libasan5:amd64 <none>
2019-12-16 15:01:33 status installed libatomic1:amd64 8.3.0-6
2019-12-16 15:01:33 remove libatomic1:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured libatomic1:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed libatomic1:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files libatomic1:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed libatomic1:amd64 <none>
2019-12-16 15:01:33 status installed libc6-dev:amd64 2.28-10
2019-12-16 15:01:33 remove libc6-dev:amd64 2.28-10 <none>
2019-12-16 15:01:33 status half-configured libc6-dev:amd64 2.28-10
2019-12-16 15:01:33 status half-installed libc6-dev:amd64 2.28-10
2019-12-16 15:01:33 status config-files libc6-dev:amd64 2.28-10
2019-12-16 15:01:34 status not-installed libc6-dev:amd64 <none>
2019-12-16 15:01:34 status installed libc-dev-bin:amd64 2.28-10
2019-12-16 15:01:34 remove libc-dev-bin:amd64 2.28-10 <none>
2019-12-16 15:01:34 status half-configured libc-dev-bin:amd64 2.28-10
2019-12-16 15:01:34 status half-installed libc-dev-bin:amd64 2.28-10
2019-12-16 15:01:34 status config-files libc-dev-bin:amd64 2.28-10
2019-12-16 15:01:34 status not-installed libc-dev-bin:amd64 <none>
2019-12-16 15:01:34 status installed libcc1-0:amd64 8.3.0-6
2019-12-16 15:01:34 remove libcc1-0:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libcc1-0:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libcc1-0:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libcc1-0:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libcc1-0:amd64 <none>
2019-12-16 15:01:34 status installed libgomp1:amd64 8.3.0-6
2019-12-16 15:01:34 remove libgomp1:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libgomp1:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libgomp1:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libgomp1:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libgomp1:amd64 <none>
2019-12-16 15:01:34 status installed libisl19:amd64 0.20-2
2019-12-16 15:01:34 remove libisl19:amd64 0.20-2 <none>
2019-12-16 15:01:34 status half-configured libisl19:amd64 0.20-2
2019-12-16 15:01:34 status half-installed libisl19:amd64 0.20-2
2019-12-16 15:01:34 status config-files libisl19:amd64 0.20-2
2019-12-16 15:01:34 status not-installed libisl19:amd64 <none>
2019-12-16 15:01:34 status installed libitm1:amd64 8.3.0-6
2019-12-16 15:01:34 remove libitm1:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libitm1:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libitm1:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libitm1:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libitm1:amd64 <none>
2019-12-16 15:01:34 status installed liblsan0:amd64 8.3.0-6
2019-12-16 15:01:34 remove liblsan0:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured liblsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed liblsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files liblsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed liblsan0:amd64 <none>
2019-12-16 15:01:34 status installed libmpc3:amd64 1.1.0-1
2019-12-16 15:01:34 remove libmpc3:amd64 1.1.0-1 <none>
2019-12-16 15:01:34 status half-configured libmpc3:amd64 1.1.0-1
2019-12-16 15:01:34 status half-installed libmpc3:amd64 1.1.0-1
2019-12-16 15:01:34 status config-files libmpc3:amd64 1.1.0-1
2019-12-16 15:01:34 status not-installed libmpc3:amd64 <none>
2019-12-16 15:01:34 status installed libmpfr6:amd64 4.0.2-1
2019-12-16 15:01:34 remove libmpfr6:amd64 4.0.2-1 <none>
2019-12-16 15:01:34 status half-configured libmpfr6:amd64 4.0.2-1
2019-12-16 15:01:34 status half-installed libmpfr6:amd64 4.0.2-1
2019-12-16 15:01:34 status config-files libmpfr6:amd64 4.0.2-1
2019-12-16 15:01:34 status not-installed libmpfr6:amd64 <none>
2019-12-16 15:01:34 status installed libmpx2:amd64 8.3.0-6
2019-12-16 15:01:34 remove libmpx2:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libmpx2:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libmpx2:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libmpx2:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libmpx2:amd64 <none>
2019-12-16 15:01:34 status installed libquadmath0:amd64 8.3.0-6
2019-12-16 15:01:34 remove libquadmath0:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libquadmath0:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libquadmath0:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libquadmath0:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libquadmath0:amd64 <none>
2019-12-16 15:01:34 status installed libtsan0:amd64 8.3.0-6
2019-12-16 15:01:34 remove libtsan0:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libtsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libtsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libtsan0:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libtsan0:amd64 <none>
2019-12-16 15:01:34 status installed libubsan1:amd64 8.3.0-6
2019-12-16 15:01:34 remove libubsan1:amd64 8.3.0-6 <none>
2019-12-16 15:01:34 status half-configured libubsan1:amd64 8.3.0-6
2019-12-16 15:01:34 status half-installed libubsan1:amd64 8.3.0-6
2019-12-16 15:01:34 status config-files libubsan1:amd64 8.3.0-6
2019-12-16 15:01:34 status not-installed libubsan1:amd64 <none>
2019-12-16 15:01:34 status installed linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:01:34 remove linux-libc-dev:amd64 4.19.67-2+deb10u2 <none>
2019-12-16 15:01:34 status half-configured linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:01:34 status half-installed linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:01:34 status config-files linux-libc-dev:amd64 4.19.67-2+deb10u2
2019-12-16 15:01:34 status not-installed linux-libc-dev:amd64 <none>
2019-12-16 15:01:34 startup packages configure
2019-12-16 15:01:34 trigproc libc-bin:amd64 2.28-10 <none>
